procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  92928 191728 441636 3350532    0    0    18    51    9   15 19  5 75  1  0
 0  0  92928 177580 441640 3355216    0    0     4    96 1905 5671 14  5 80  1  0
 0  0  92928 170300 441644 3352576    0    0     0   524 1990 5554 12  6 82  1  0
 0  0  92928 161880 441644 3350616    0    0     0     0 1923 5589 12  5 83  0  0
 0  0  92928 151652 441644 3350440    0    0     0     0 1907 5515 11  6 82  0  0
 0  0  92928 138548 441652 3353088    0    0     0    92 1884 5581 13  4 83  1  0
 0  0  95744 166092 441608 3314736    0 2888     0  2888 1958 5667 11  6 83  0  0
 2  0  95744 147348 441636 3323232    0    0     0   460 1991 5853 13  5 74  7  0
 0  0  96256 157004 441604 3304080    0  556     0   604 2014 5910 16  5 78  1  0
 2  0  96256 138308 441604 3312652    0    0     0     0 1850 5483 11  5 84  0  0
[1]  + done       ./ex2
